state,latitude,longitude
AE,25.229669,55.319303
AE,25.266826,55.317043
AE,25.21769,55.283103
AE,24.99156,55.09348
AE,25.168955,55.227421
AE,25.084243,55.15009
AE,24.495868,54.383227
AE,24.490072,54.363083
AE,24.475984,54.321883
AE,25.251483,55.332766
AE,25.33381,55.375645
AE,25.216583,55.25253
AE,25.29743,55.371903
AE,25.345018,55.39871
AE,25.309971,55.489652
AE,25.224555,55.424622
AE,25.215721,55.277276
AE,24.47024,54.37276
AE,24.479704,54.353567
AE,24.408591,54.491289
AE,25.132344,55.118461
AE,25.321535,55.375703
AE,25.681656,55.780582
AE,24.160592,55.807567
AE,24.489096,54.37411
AE,25.194108,55.276799
AE,25.133537,55.185668
AE,24.188009,55.68792
AE,25.25374,55.303499
AE,24.243583,55.726779
AE,24.477553,54.376484
AE,25.245717,55.359237
AE,25.04063,55.12131
AE,25.04449,55.120295
AE,25.0445,55.120305
AE,25.102801,55.162898
AE,25.05399,55.171172
AE,25.233864,55.43588
AE,25.25258,55.35408
AE,25.08074,55.13897
AE,25.23109,55.32647
AE,25.07181,55.12975
AE,25.169505,55.241709
AE,24.477139,54.372518
AE,25.0955,55.167252
AE,24.470337,54.351749
AE,25.748301,55.925063
AE,25.200837,55.27365
AE,25.19097,55.278268
AE,25.076871,55.133298
AE,25.23424,55.311429
AE,25.194946,55.279258
AE,25.198022,55.238381
AE,24.365661,54.564211
AE,25.07641,55.140511
AE,24.350423,54.569979
AE,25.251866,55.332833
AE,25.07649,55.135384
AE,25.210916,55.276096
AE,25.077092,55.135592
AE,24.195469,55.647858
AE,25.21554,55.2789
AE,25.198578,55.279564
AE,25.046226,55.24268
AE,25.215973,55.409539
AE,25.124772,55.41056
AE,25.118437,55.203113
AE,24.450186,54.392092
AR,-34.547348,-58.485948
AR,-34.588061,-58.409781
AR,-34.589835,-58.425611
AR,-34.60798,-58.374965
AR,-34.572935,-58.459374
AR,-34.600774,-58.392584
AR,-34.541439,-58.463045
AR,-34.547348,-58.485858
AR,-34.568813,-58.443745
AR,-34.603912,-58.410938
AR,-34.506768,-58.523491
AR,-34.676224,-58.366572
AR,-34.59948,-58.375377
AR,-34.600444,-58.36879
AR,-34.615562,-58.4291
AR,-34.616485,-58.381815
AR,-34.567794,-58.4368
AR,-34.483377,-58.489665
AR,-34.59321,-58.376136
AR,-34.565106,-58.436407
AR,-34.610026,-58.362755
AR,-34.575586,-58.404014
AR,-34.590791,-58.400619
AR,-34.601144,-58.364731
AR,-34.451904,-58.72711
AR,-34.580807,-58.410449
AR,-34.617189,-58.43399
AR,-34.449953,-58.916729
AR,-34.57785,-58.405995
AR,-34.584775,-58.399801
AR,-34.592319,-58.412618
AR,-34.403111,-58.655418
AT,48.198655,16.350052
AT,48.200706,16.358635
AT,48.240344,16.386985
AT,48.220408,16.347473
AT,48.211299,16.376093
AT,48.205817,16.385848
AT,48.207627,16.367094
AT,48.200786,16.368764
AT,48.243246,16.434104
AW,12.51728,-70.0368
AW,12.51864,-70.03762
BE,50.89737,4.4851
BE,50.90035,4.48431
BE,51.21722,4.42111
BG,42.530403,27.457174
BG,42.68993,23.331432
BG,42.68613,23.321456
BG,42.66049,23.382437
BH,26.24169,50.58798
BH,26.2696,50.62608
BH,26.2064,50.57619
BH,26.23253,50.53644
BH,26.22982,50.53717
BH,26.21165,50.60773
BH,26.14469,50.57902
BH,26.23492,50.55467
BH,26.23492,50.55458
BH,26.23658,50.57716
BR,-23.004161,-43.317748
BR,-22.957039,-43.176461
BR,-23.559908,-46.661705
BR,-23.559908,-46.661705
BS,25.07408,-77.31635
BS,25.06786,-77.32793
BS,25.08595,-77.32776
BS,25.08253,-77.31924
BS,25.06929,-77.39309
BS,25.064619,-77.457016
CA,49.276774,-123.12523
CA,49.841375,-119.487573
CA,49.500151,-117.283269
CA,49.23206,-123.032935
CA,49.261923,-123.068225
CA,49.244772,-123.153891
CA,53.540159,-113.578866
CA,49.235239,-123.115714
CA,49.835574,-99.961661
CA,49.828233,-119.628634
CA,56.730356,-111.426777
CA,49.692732,-112.891789
CA,42.957764,-81.23289
